ID,longitude_predicted,latitude_predicted
0,-57.8513,-34.7437
1,-79.47939000000002,8.8944
2,-76.47567,39.19065
3,151.02067,-34.41189
4,-5.91636,35.88379000000001
5,-110.32727,24.27431
6,29.46603,40.71466
7,146.83507,-19.25026
8,153.29193999999995,-26.73068
9,139.68343000000002,35.46922
10,-71.31169,41.34341
11,-3.82316,43.44238
12,2.64705,51.58938
13,144.90398000000005,-37.84186
14,-16.99551,23.82974
15,29.48063,40.72221
16,-8.5383,43.8102
17,153.23435,-26.77612
18,-9.22526,41.27383
19,-46.29804,-23.95987
20,22.95337,59.8211
21,-66.36373,18.80632
22,114.32534,-30.21228
23,8.91483,44.4075
24,7.2009300000000005,53.33566
25,13.73575,45.55133
26,4.42177,51.88025
27,7.80515,53.9216
28,14.57044,55.33025
29,9.10332,39.21005
30,-122.34099,37.71863
31,-0.3222,39.45696
32,-4.01772,51.27934000000001
33,3.22002,51.34443
34,-2.7191,51.49198
35,10.30367,43.57898
36,18.65507,54.38054
37,12.83279,55.85554000000001
38,7.162210000000001,53.33458
39,-3.81814,43.44188
40,-5.37673,36.13732
41,113.70109,22.6245
42,3.23907,51.29922
43,-76.57715,39.24919000000001
44,130.90204,33.90403
45,3.2272,51.31399
46,3.21582,51.31237
47,12.99928,55.62335
48,8.5526,53.57547
49,4.2343,51.2616
50,10.30563,43.57881
51,-80.47254000000002,31.96719
52,-93.94005,29.85957
53,-2.71841,51.49764
54,-2.71841,51.49764
55,3.23786,51.30126
56,2.17508,41.36382
57,8.55719,53.57609
58,-122.41439,47.26764
59,-0.92813,49.53323
60,129.00037,35.05064
61,9.94527,53.51300000000001
62,4.21244,51.27048
63,0.8584700000000001,50.48643
64,4.22145,51.28037
65,3.23027,51.30883
66,153.09581,-27.44781
67,10.85939,53.94684
68,115.74725,-32.0474
69,173.23459,-41.15897
70,-122.92331,49.18266
71,13.36737,38.12563
72,153.16482,-27.37935
73,-8.86518,38.51052
74,3.24152,51.29663
75,103.8887,1.27223
76,13.39125,38.15504
77,10.2956,43.47062
78,0.34156,51.46254
79,-71.34017,41.51805
80,-1.39689,50.88488
81,-79.46935,8.8978
82,18.37914,40.50311
83,11.86675,57.68944000000001
84,103.89416,1.26433
85,29.31601,40.68679
86,-106.38052,19.47335
87,2.69441,51.45926
88,4.22227,51.27477
89,3.2112700000000003,51.32099
90,9.88987,54.35385
91,-124.09802,48.27546
92,9.10827,39.21182
93,23.60575,37.9591
94,-76.53535,39.2416
95,3.2333,51.30527
96,140.45506,34.78171
97,0.96818,50.77825
98,104.20983,1.27443
99,2.22874,51.79121
100,6.13395,53.64703000000001
101,-0.46592,49.69995
102,-3.92732,51.31255
103,23.60823,37.95947
104,-4.67031,51.04121
105,10.86151,53.94311
106,-106.37866,19.81425
107,2.28715,52.57294
108,8.560139999999999,53.57536999999999
109,-118.2333,33.63707
110,2.10535,52.32413
111,8.88505,44.40593
112,4.98237,53.5627
113,-16.3476,25.41614
114,0.00693,39.58118
115,-2.09918,43.49259
116,12.99686,55.617230000000006
117,135.25298,34.6205
118,4.21622,51.2753
119,1.59163,52.91096999999999
120,4.4585,51.89047
121,-74.76938,38.76154
122,-75.25469,39.1612
123,-2.78456,50.63674
124,141.23203999999996,41.62135
125,12.01367,54.36044
126,15.81538,55.755930000000006
127,4.28863,51.3463
128,8.55067,53.57726
129,10.21572,43.37316
130,10.28359,43.39583
131,10.09858,43.26487
132,10.15493,43.44555
133,10.2354,43.32778
134,15.91595,38.47387
135,-5.20442,36.01606
136,3.21282,51.32458
137,4.04018,51.38413
138,1.95708,52.15102
139,-3.13388,50.44568
140,-3.70472,50.17793
141,-3.10212,50.61772
142,18.65969,54.37931999999999
143,153.23453,-26.77586
144,29.47658,40.72275
145,15.915920000000002,38.47387
146,130.92404,33.90815
147,-79.55153,8.83643
148,-3.82309,43.44237
149,29.31613,40.68658
150,2.69436,51.4598
151,120.77581,-14.10784
152,-76.39602,39.16657
153,4.22224,51.27479
154,104.24624,1.27452
155,13.735779999999998,45.55136
156,29.48063,40.72222
157,126.82718,36.97879
158,144.91759,-37.81852
159,-71.36371,41.46811
160,-9.21539,41.32237
161,-79.46935,8.897780000000003
162,22.95337,59.82108
163,-8.8674,38.51159000000001
164,10.30365,43.57901
165,2.61406,51.54612
166,-3.81815,43.44191
167,-1.60956,50.23847
168,-122.41439,47.26769
169,125.92553,36.51958
170,-66.41107,18.85826
171,10.85941,53.94685
172,13.36737,38.12564
173,121.39603,25.16046
174,8.91489,44.40745
175,144.90398000000005,-37.84187
176,-46.29806,-23.95987
177,-79.47938,8.89446
178,113.68378,22.68766
179,8.560139999999999,53.57536999999999
180,8.55067,53.57725
181,12.99684,55.617230000000006
182,4.4585,51.89047
183,8.88503,44.40591
184,6.10211,53.63251
185,3.2128,51.32457
186,7.20096,53.33565
187,7.80513,53.92164
188,4.42177,51.88025
189,4.21617,51.27531
190,9.1033,39.21007
191,-122.34092,37.71861
192,-0.32219000000000003,39.45695
193,-2.71909,51.492
194,18.65507,54.38054
195,3.22,51.34443
196,12.83279,55.85553
197,7.162210000000001,53.33459000000001
198,-76.57711,39.24919000000001
199,3.23906,51.29922
200,3.2272,51.31399
201,3.21581,51.31238
202,-93.94008,29.85955
203,-2.71836,51.49766
204,-2.71836,51.49766
205,8.55258,53.5755
206,12.99928,55.62335
207,4.2343,51.2616
208,-80.47251999999997,31.9672
209,10.30562,43.57881
210,8.557160000000001,53.57609
211,3.23781,51.30124
212,-0.92814,49.53332
213,2.17508,41.36381
214,129.00038,35.05065
215,9.94525,53.51299
216,4.21243,51.27048
217,4.221430000000002,51.28038
218,3.23025,51.30882
219,153.09583,-27.44782
220,-79.53707,8.814
221,29.46602,40.71467
222,115.74727,-32.0474
223,146.83507,-19.25025
224,-122.9233,49.18264
225,153.16483,-27.379340000000006
226,173.23426,-41.15902
227,114.2705,-30.12141
228,-8.86518,38.51055
229,3.24152,51.29663
230,13.39129,38.15515
231,103.88865,1.27205
232,0.97649,50.50402
233,130.86542,33.94239
234,-1.39688,50.88488
235,139.68343000000002,35.46923
236,18.65969,54.37931
237,14.71121,55.39951
238,11.86673,57.68945
239,18.34426,40.5603
240,-123.96318,48.23404
241,103.89417,1.2643
242,9.88452,54.35593000000001
243,3.21125,51.32099
244,2.21781,51.7839
245,10.21324,43.37776
246,-3.93153,51.31815
247,-5.08102,36.03145
248,-0.02908,39.5876
249,1.7097099999999998,52.8633
250,-2.12693,43.52546
251,-8.61299,43.80805
252,10.11577,43.26783
253,10.27085,43.47588
254,-74.70403,38.76
255,-2.76071,50.63166
256,0.88625,50.74678
257,4.28864,51.34627
258,23.60825,37.9595
259,9.10826,39.21183
260,-76.53542,39.2416
261,1.95752,52.16542000000001
262,141.35955,41.61976
263,12.13708,54.40224
264,15.950970000000002,55.7983
265,-3.10317,50.46488
266,3.98303,51.43617
267,-106.45623,19.86762
268,-4.72569,51.01369
269,10.86605,53.95364
270,-4.14559,51.2662
271,23.6058,37.95907
272,10.30061,43.38978
273,10.22931,43.48236
274,10.2392,43.34322
275,-3.12073,50.61723
276,-5.39076,36.13352
277,-0.5197,49.70512
278,4.8561,53.53513
279,-106.46393,19.52355
280,-3.82865,50.15435
281,-118.2115,33.58263
282,2.10912,52.32525
283,140.47133,34.77795
284,2.28952,52.57418000000001
285,0.34157,51.46256
286,-16.41476,25.31936
287,-75.1815,39.07601
288,3.23331,51.30528
289,135.26112,34.65265
290,-0.49115,54.55751
291,9.10328,39.21009
292,-79.55153,8.83646
293,-71.38101,41.44703
294,1.00915,50.51531
295,-8.86738,38.5116
296,-3.82321,43.4424
297,29.48062,40.72221
298,125.93583,36.56328
299,18.32469,40.59254
300,146.83508,-19.25026
301,121.39601,25.16048
302,-8.65108,43.80732
303,-7.74206,36.37211
304,7.80502,53.92163000000001
305,-79.53303000000002,8.81701
306,29.466040000000003,40.71467
307,28.8681,40.95179
308,115.74727,-32.04741
309,-106.52012,19.9123
310,-66.46253,18.91427
311,-79.48969,8.8877
312,153.29174,-26.7307
313,-1.39689,50.88489000000001
314,139.68347,35.46923
315,-79.46933,8.89782
316,18.65969,54.37931999999999
317,-46.29804,-23.95986
318,29.47657,40.72272
319,11.86673,57.68944000000001
320,103.89416,1.2643799999999998
321,22.95338,59.82107
322,23.60818,37.95945
323,14.84121,55.44269
324,4.2222800000000005,51.27479
325,3.21123,51.32101
326,2.69635,51.45925
327,-76.53536,39.24162000000001
328,0.34153,51.46256
329,23.6057,37.95905
330,-3.81819,43.44193
331,3.23332,51.30527
332,141.47486999999995,41.61542
333,8.560139999999999,53.57536
334,4.4585,51.89046
335,8.55065,53.57726
336,12.99686,55.617230000000006
337,3.21283,51.32455
338,15.91591,38.47389
339,114.22369,-30.041120000000006
340,6.06798,53.6133
341,13.735729999999998,45.55135
342,8.91483,44.4075
343,7.20091,53.33566999999999
344,4.42177,51.88025
345,8.885,44.40595
346,-0.3222,39.45696
347,-122.34105,37.71868
348,10.20717,43.37596
349,12.30727,40.88071
350,-2.71911,51.492
351,10.30365,43.57902
352,18.65507,54.38054
353,12.83278,55.85552
354,7.1622,53.33462
355,3.23905,51.29924000000001
356,-76.57711,39.24921
357,3.22719,51.31398
358,130.92345,33.9079
359,3.22001,51.34443
360,3.2158,51.31238
361,12.99928,55.62335
362,-93.94005,29.85958
363,8.55257,53.57549
364,4.2343199999999985,51.26157
365,-80.47251999999997,31.9672
366,-2.71837,51.49765
367,-2.71837,51.49765
368,10.30562,43.57879000000001
369,8.557139999999999,53.57611
370,135.25225,34.6839
371,3.23782,51.30124
372,-122.41439,47.26763
373,-0.92812,49.53362
374,129.00036,35.05065
375,9.94526,53.51302
376,2.1750700000000003,41.36382
377,4.21244,51.27049
378,3.23027,51.30882
379,4.22144,51.28037
380,0.81693,50.7202
381,153.09582,-27.44781
382,-4.22812,51.25085
383,10.8594,53.94684
384,4.21617,51.2753
385,-122.92328,49.18266
386,13.36736,38.12562
387,173.23453,-41.15885
388,-3.93587,51.32247
389,153.16484,-27.37933
390,140.45944,34.78358
391,9.83187,54.36365
392,-0.58313,54.60904
393,-3.7912,51.33432
394,0.8529,53.17031
395,-4.96054,36.04316
396,-8.865160000000003,38.5106
397,3.2415,51.29663
398,-106.54225,19.57102
399,113.83429,22.07695
400,103.88862,1.27233
401,2.29133,52.57594
402,2.10736,52.32974
403,13.39146,38.15522
404,-16.476760000000002,25.22387
405,4.73416,53.51006
406,-0.0648,39.59322
407,2.58043,51.49533
408,-2.15556,43.55308
409,10.95618,53.99979
410,10.13423,43.26993
411,144.90398000000005,-37.84184000000001
412,10.24679,43.35351
413,10.20563,43.4449
414,-118.19126,33.5297
415,16.083470000000002,55.841
416,4.30248,51.33466
417,-75.13474000000002,38.98734
418,-2.77035,50.62588
419,9.10829,39.21181
420,12.22086,54.46791999999999
421,-74.63614,38.7595
422,-5.38782,36.08411
423,10.26299,43.39972
424,1.84078,52.815
425,10.19917,43.40809
426,-123.82238,48.22386
427,2.19881,51.76758
428,1.95973,52.18472
429,-3.06551,50.48364
430,3.93327,51.3768
431,-3.95491,50.13053
432,-3.13942,50.61573
433,-4.7809300000000015,50.98624
434,-0.56047,49.7106
435,-76.27123,39.1928
436,126.82719,36.97881
437,-9.19773,41.40132
438,28.8681,40.9519
439,2.69617,51.46019
440,113.87293,22.069370000000006
441,151.02005,-34.41206
442,-66.48705,18.94058
443,14.91138,55.46484
444,-1.1601,50.33817
445,18.28014,40.6302
446,-79.47936,8.89443
447,-71.31092,41.34348
448,-76.19794,37.98875
449,13.73574,45.55134
450,29.48062,40.72221
451,-106.5986,19.6048
452,153.29224,-26.73036
453,-79.46941,8.8977
454,22.95336,59.82107
455,3.23332,51.30527
456,4.45849,51.89046
457,8.91483,44.4075
458,-8.86735,38.51161
459,-71.42083000000002,41.34473
460,-0.92824,49.53362
461,129.00038,35.050670000000004
462,121.39603,25.16047
463,-122.9233,49.18265
464,13.36735,38.12563
465,144.904,-37.84187
466,15.9159,38.47388
